appearing , a , 119 , 1441355378934 , 114.2721 , 383.7569
using , u , 83 , 1441355378967 , 131.3813 , 307.0749
using , s , 84 , 1441355379001 , 149.9547 , 285.6108
using , s , 84 , 1441355379034 , 157.2768 , 276.06
using , i , 85 , 1441355379067 , 176.9327 , 264.7237
using , i , 85 , 1441355379101 , 168.9302 , 271.2126
using , n , 86 , 1441355379134 , 210.6191 , 259.0631
using , i , 85 , 1441355379167 , 185.9951 , 284.9968
using , i , 85 , 1441355379201 , 183.6575 , 277.3534
using , i , 85 , 1441355379234 , 183.9673 , 277.2115
using , i , 85 , 1441355379267 , 170.673 , 287.3766
appearing , a , 115 , 1441355379300 , -409.6974 , 425.2446
appearing , a , 115 , 1441355379334 , -412.8046 , 476.1203
appearing , a , 115 , 1441355379367 , -436.736 , 481.4389
appearing , a , 115 , 1441355379434 , -437.2218 , 467.4127
appearing , a , 115 , 1441355379467 , -448.1833 , 456.7441
appearing , a , 115 , 1441355379600 , -504.9524 , 477.304
Test , T , 0 , 1441355380566 , 0.0 , 0.0
Test , T , 0 , 1441355380599 , 0.0 , 0.0
Test , T , 0 , 1441355380666 , 0.0 , 0.0
Test , T , 0 , 1441355380699 , 0.0 , 0.0
Test , T , 0 , 1441355380733 , 0.0 , 0.0
Test , T , 0 , 1441355380766 , 0.0 , 0.0
Test , T , 0 , 1441355380799 , 0.0 , 0.0
Test , T , 0 , 1441355380899 , 0.0 , 0.0
Test , T , 0 , 1441355380999 , 0.0 , 0.0
Test , T , 0 , 1441355381066 , 0.0 , 0.0
Test , T , 0 , 1441355381099 , 0.0 , 0.0
Test , T , 0 , 1441355381132 , 0.0 , 0.0
Test , T , 0 , 1441355381166 , 0.0 , 0.0
Test , T , 0 , 1441355381232 , 0.0 , 0.0
Test , T , 0 , 1441355381265 , 0.0 , 0.0
